"","CEIN","RIRO","ARPA","CECO","CEPR","SYMO","CEVE","fake"
"1",0,2.75,0,0,0,0,0,1
"2",0,0,0,0,0,0,0,1
"3",0,0,0,0,0,1,0,1
"4",0,0,0,18,0,2.75,0,1
"5",0,1,0,0,0,1,0,1
"6",1,0,0,0,0,0,0,1
"7",1,0,0,0,1,0,0,1
"8",0,1,19.5,18,0,21.25,0,1
"9",2.75,1,1,1,0,0,0,1
"10",1,1,0,0,0,4.5,0,1
"11",40.5,1,0,0,1,1,0,1
"12",11.25,1,1,0,0,0,0,1
"13",1,1,0,0,0,0,0,1
"14",18,0,0,0,0,0,0,1
"15",2.75,0,0,0,0,0,0,1
"16",4.5,1,0,0,0,0,0,1
"17",50.5,1,0,0,0,4.5,0,1
"18",21.25,1,2.75,0,0,0,0,1
"19",63,1,1,0,4.5,0,0,1
"20",75.5,2.75,0,0,0,0,0,1
"21",88,1,0,0,0,0,0,1
"22",28,0,0,0,0,0,0,1
"23",0,1,0,4.5,4.5,0,0,1
"24",11.25,1,1,0,0,4.5,0,1
"25",4.5,0,0,0,0,1,0,1
"26",0,0,1,1,0,0,0,1
"27",2.75,2.75,0,0,0,2.75,0,1
"28",11.25,11.25,0,21.25,0,4.5,0,1
"29",0,0,0,0,0,0,0,1
"30",0,0,0,0,0,0,0,1
"31",0,18,1,0,0,4.5,1,1
"32",0,0,0,0,0,1,0,1
"33",21.25,1,0,0,4.5,0,18,1
"34",1,0,0,0,1,0,0,1
"35",0,1,1,4.5,1,0,0,1
"36",0,1,0,1,0,0,0,1
"37",2.75,0,0,0,0,0,0,1
"38",4.5,1,0,4.5,11.25,4.5,4.5,1
"39",0,0,1,1,0,1,0,1
"40",1,4.5,28,63,0,0,0,1
"41",0,0,2.75,18,0,1,0,1
"42",0,1,1,0,33.75,0,0,1
"43",63,2.75,1,0,0,0,0,1
"44",4.5,0,0,0,1,0,0,1
"45",0,1,11.25,38,0,0,0,1
"46",75.5,4.5,0,0,0,0,0,1
"47",18,0,0,0,0,4.5,0,1
"48",18,4.5,4.5,0,0,0,1,1
"49",0,2.75,0,0,0,0,0,1
"50",50.5,0,0,0,0,0,0,1
"51",0,1,4.5,4.5,4.5,0,0,1
"52",0,4.5,28,38,0,0,0,1
"53",11.25,1,0,0,0,0,0,1
"54",4.5,1,0,0,0,0,0,1
"55",46.25,1,9.5,0,0,4.5,0,1
"56",19.5,1,0,0,0,0,0,1
"57",0,1,4.5,53,0,0,0,1
"58",0,2.75,0,38,0,0,0,1
"59",38,2.75,4.5,0,1,4.5,0,1
"60",46.25,4.5,0,0,0,0,0,1
"61",28,4.5,2.75,4.5,1,4.5,0,1
"62",18,1,0,0,1,0,0,1
"63",4.5,0,0,33.75,1,0,4.5,1
"64",75.5,4.5,0,1,0,0,1,1
"65",28,2.75,0,0,1,0,1,1
"66",4.5,4.5,1,40.5,0,0,0,1
"67",0,1,1,50.5,1,0,0,1
"68",28,1,0,0,4.5,0,1,1
"69",0,2.75,4.5,4.5,0,0,0,1
"70",0,0,11.25,88,0,0,0,1
"71",18,2.75,18,63,1,0,0,1
"72",18,2.75,18,0,0,0,38,1
"73",63,0,11.25,0,0,0,0,1
"74",18,0,4.5,0,0,0,0,1
"75",53,0,0,0,0,0,0,1
"76",46.25,0,11.25,4.5,4.5,0,53,1
"77",11.25,4.5,4.5,18,0,0,11.25,1
"78",28,1,21.25,0,1,0,0,1
"79",38,0,50.5,21.25,0,0,0,1
"80",63,1,1,0,0,0,4.5,1
"81",1,1,0,38,4.5,0,0,1
"82",0,4.5,9.5,28,0,4.5,0,1
"83",28,0,2.75,0,1,0,1,1
"84",75.5,1,2.75,0,0,2.75,0,1
"85",50.5,1,0,4.5,0,0,0,1
"86",63,0,0,0,0,0,0,1
"87",0,2.75,0,50.5,0,0,0,1
"88",0,0,2.75,18,2.75,0,0,1
"89",0,1,0,38,0,0,0,1
"90",9.5,4.5,0,0,0,0,18,1
"91",11.25,4.5,2.75,18,0,0,0,1
"92",1,1,28,63,0,0,0,1
