"","Plot","SC","storrie_rdnbr","chips_rdnbr"
"1","1.1.1","un/un",198,207
"2","1.1.2","un/un",0,0
"3","1.1.3","un/un",0,0
"4","1.1.4","un/un",0,0
"5","1.2.1","un/low",59,56
"6","1.2.2","un/low",130,36
"7","1.2.3","un/low",190,50
"8","1.2.4","un/low",685,437
"9","1.2.5","un/low",168,332
"10","1.2.6","un/low",109,92
"11","1.3.1","un/mod",110,250
"12","1.3.2","un/mod",68,577
"13","1.3.3","un/mod",207,137
"14","1.3.4","un/mod",-103,600
"15","1.3.5","un/mod",-2,509
"16","1.3.6","un/mod",21,581
"17","1.4.1","un/high",-84,954
"18","1.4.2","un/high",49,789
"19","1.4.3","un/high",23,1055
"20","1.4.4","un/high",2,869
"21","1.4.5","un/high",40,1014
"22","1.4.6","un/high",-106,875
"23","2.1.1","low/un",399,77
"24","2.1.2","low/un",130,433
"25","2.1.3","low/un",333,65
"26","2.1.4","low/un",164,200
"27","2.1.5","low/un",152,39
"28","2.1.6","low/un",285,121
"29","2.2.1","low/low",50,101
"30","2.2.2","low/low",37,121
"31","2.2.3","low/low",227,36
"32","2.2.4","low/low",130,272
"33","2.2.5","low/low",335,175
"34","2.2.6","low/low",148,108
"35","2.3.1","low/mod",286,339
"36","2.3.2","low/mod",392,167
"37","2.3.3","low/mod",261,119
"38","2.3.4","low/mod",413,187
"39","2.3.5","low/mod",555,301
"40","2.3.6","low/mod",513,614
"41","2.4.1","low/high",572,672
"42","2.4.2","low/high",481,719
"43","2.4.3","low/high",354,725
"44","2.4.4","low/high",597,614
"45","2.4.5","low/high",229,680
"46","2.4.6","low/high",338,751
"47","3.1.1","mod/un",250,53
"48","3.1.2","mod/un",709,88
"49","3.1.3","mod/un",493,-96
"50","3.1.4","mod/un",728,0
"51","3.1.5","mod/un",383,97
"52","3.1.6","mod/un",565,50
"53","3.2.1","mod/low",434,182
"54","3.2.2","mod/low",144,389
"55","3.2.3","mod/low",144,389
"56","3.2.4","mod/low",404,179
"57","3.2.5","mod/low",538,867
"58","3.2.6","mod/low",547,561
"59","3.3.2","mod/mod",576,452
"60","3.3.4","mod/mod",628,400
"61","3.3.5","mod/mod",783,654
"62","3.3.6","mod/mod",828,556
"63","3.4.1","mod/high",591,764
"64","3.4.2","mod/high",691,673
"65","3.4.3","mod/high",312,630
"66","3.4.4","mod/high",861,819
"67","3.4.5","mod/high",685,694
"68","3.4.6","mod/high",1000,670
"69","4.1.1","high/un",1220,-140
"70","4.1.2","high/un",731,20
"71","4.1.3","high/un",698,-43
"72","4.1.4","high/un",1016,-453
"73","4.1.5","high/un",737,0
"74","4.1.6","high/un",883,0
"75","4.2.1","high/low",802,501
"76","4.2.2","high/low",881,-162
"77","4.2.3","high/low",716,475
"78","4.2.4","high/low",823,590
"79","4.2.5","high/low",1064,676
"80","4.2.6","high/low",793,472
"81","4.3.1","high/mod",1001,605
"82","4.3.2","high/mod",485,819
"83","4.3.3","high/mod",747,640
"84","4.3.4","high/mod",707,442
"85","4.3.5","high/mod",1048,810
"86","4.3.6","high/mod",897,706
"87","4.4.1","high/high",1037,891
"88","4.4.2","high/high",1097,810
"89","4.4.3","high/high",892,726
"90","4.4.4","high/high",756,662
"91","4.4.5","high/high",757,819
"92","4.4.6","high/high",870,597
