"Plot","storrie_rdnbr","chips_rdnbr","abun"
"1.1.1",198,207,"RIRO"
"1.1.2",0,0,NA
"1.1.3",0,0,NA
"1.1.4",0,0,"SYMO"
"1.2.1",59,56,"RIRO"
"1.2.2",130,36,NA
"1.2.3",190,50,NA
"1.2.4",685,437,"CECO"
"1.2.5",168,332,"CEIN"
"1.2.6",109,92,"SYMO"
"1.3.1",110,250,"CEIN"
"1.3.2",68,577,"CEIN"
"1.3.3",207,137,"CEIN"
"1.3.4",-103,600,"CEIN"
"1.3.5",-2,509,"CEIN"
"1.3.6",21,581,"CEIN"
"1.4.1",-84,954,"CEIN"
"1.4.2",49,789,"CEIN"
"1.4.3",23,1055,"CEIN"
"1.4.4",2,869,"CEIN"
"1.4.5",40,1014,"CEIN"
"1.4.6",-106,875,"CEIN"
"2.1.1",399,77,"CEPR"
"2.1.2",130,433,"CEIN"
"2.1.3",333,65,"SYMO"
"2.1.4",164,200,NA
"2.1.5",152,39,"CEIN"
"2.1.6",285,121,"CEIN"
"2.2.1",50,101,NA
"2.2.2",37,121,NA
"2.2.3",227,36,"CEPR"
"2.2.4",130,272,"SYMO"
"2.2.5",335,175,"CEIN"
"2.2.6",148,108,NA
"2.3.1",286,339,"CEPR"
"2.3.2",392,167,"CECO"
"2.3.3",261,119,NA
"2.3.4",413,187,"CEIN"
"2.3.5",555,301,"CECO"
"2.3.6",513,614,"CECO"
"2.4.1",572,672,"CECO"
"2.4.2",481,719,"CEIN"
"2.4.3",354,725,"CEIN"
"2.4.4",597,614,"RIRO"
"2.4.5",229,680,"CECO"
"2.4.6",338,751,"CEIN"
"3.1.1",250,53,NA
"3.1.2",709,88,"CEIN"
"3.1.3",493,-96,"RIRO"
"3.1.4",728,0,"CEIN"
"3.1.5",383,97,"ARPA"
"3.1.6",565,50,"CECO"
"3.2.1",434,182,"CEIN"
"3.2.2",144,389,"CEIN"
"3.2.3",144,389,"CEIN"
"3.2.4",404,179,NA
"3.2.5",538,867,"CECO"
"3.2.6",547,561,"CECO"
"3.3.2",576,452,"CEIN"
"3.3.3",576,452,"CEIN"
"3.3.4",628,400,"CEIN"
"3.3.5",783,654,"CEIN"
"3.3.6",828,556,"CEIN"
"3.4.1",591,764,"CECO"
"3.4.2",691,673,"CEIN"
"3.4.3",312,630,"CEIN"
"3.4.4",861,819,"CECO"
"3.4.5",685,694,"CECO"
"3.4.6",1000,670,"CEIN"
"4.1.1",1220,-140,"CECO"
"4.1.2",731,20,"CECO"
"4.1.3",698,-43,"CECO"
"4.1.4",1016,-453,"CEVE"
"4.1.5",737,0,"CEIN"
"4.1.6",883,0,"CEIN"
"4.2.1",802,501,"CEIN"
"4.2.2",881,-162,"CEIN"
"4.2.3",716,475,"CECO"
"4.2.4",823,590,"CEIN"
"4.2.5",1064,676,"CECO"
"4.2.6",793,472,"CEIN"
"4.3.1",1001,605,"CECO"
"4.3.2",485,819,"CECO"
"4.3.3",747,640,"CEIN"
"4.3.4",707,442,"CEIN"
"4.3.5",1048,810,"CEIN"
"4.3.6",897,706,"CEIN"
"4.4.1",1037,891,"CECO"
"4.4.2",1097,810,"CECO"
"4.4.3",892,726,"CECO"
"4.4.4",756,662,"CEVE"
"4.4.5",757,819,"CECO"
"4.4.6",870,597,"CECO"
